id_transacao,data_transacao,valor,operacao,codigo_boleto,data_vencimento,descricao,created_at
01090110241364043763158609,2024-01-01 09:10:13,66993.66,boleto,383874300698388450103508479065507816144369759320,2024-01-05 09:10:13,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01150100245183816778873728,2024-01-01 15:00:51,46243.01,saque,729703170277490940209965591134501858973134747159,2024-01-31 15:00:51,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01210126242125720141311681,2024-01-01 21:26:21,66450.36,boleto,110070672931132571534542314057541164064921017916,2024-01-24 21:26:21,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01110110241874750861925248,2024-01-01 11:10:18,75292.48,saque,796782868141914215110023105122956694958911109100,2024-01-06 11:10:18,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01230110245873138996154253,2024-01-01 23:10:58,93737.97,saque,995457469631012239948299943043113530372043157262,2024-01-23 23:10:58,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01060144241351527785585589,2024-01-01 06:44:13,20619.64,saque,003080748168385622455420756616928709032766086515,2024-01-29 06:44:13,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01090144244027945818882265,2024-01-01 09:44:40,94931.93,saque,084936848680104534887043262031239513908085252175,2024-01-09 09:44:40,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01170215240400272230991330,2024-01-02 17:15:04,86114.99,saque,279638242367011361604445149150270322143861115983,2024-01-10 17:15:04,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01160201241555242067769520,2024-01-02 16:01:15,7164.45,saque,702199825390174409572711211910911193973516190677,2024-01-11 16:01:15,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
01110219243077226999598066,2024-01-02 11:19:30,95332.41,saque,072204928261194353027651140432936199953801409886,2024-01-28 11:19:30,Boletos pagos - mov_boletos_pagos.csv,2025-08-25 18:24:27.992812
